oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Przestępstwa stwierdzone przez Policję w zakończonych postępowaniach przygotowawczych|ogółem
324,061813515000,ropczycko-sędziszowski,548.0,2020,1815,powiat,18,podkarpackie,970.0
33,061813516000,rzeszowski,1147.0,2020,1816,powiat,18,podkarpackie,1247.0
325,061813519000,strzyżowski,504.0,2020,1819,powiat,18,podkarpackie,408.0
326,061813563000,Rzeszów,126.0,2020,1863,miasto na prawach powiatu,18,podkarpackie,3368.0
327,061813603000,dębicki,777.0,2020,1803,powiat,18,podkarpackie,1652.0
328,061813608000,leżajski,584.0,2020,1808,powiat,18,podkarpackie,605.0
329,061813611000,mielecki,881.0,2020,1811,powiat,18,podkarpackie,1507.0
330,061813612000,niżański,786.0,2020,1812,powiat,18,podkarpackie,782.0
331,061813618000,stalowowolski,832.0,2020,1818,powiat,18,podkarpackie,1454.0
332,061813620000,tarnobrzeski,521.0,2020,1820,powiat,18,podkarpackie,701.0
334,062013711000,sokólski,2055.0,2020,2011,powiat,20,podlaskie,1011.0
335,062013803000,bielski,1385.0,2020,2003,powiat,20,podlaskie,636.0
336,062013805000,hajnowski,1624.0,2020,2005,powiat,20,podlaskie,622.0
337,062013806000,kolneński,940.0,2020,2006,powiat,20,podlaskie,298.0
338,062013810000,siemiatycki,1459.0,2020,2010,powiat,20,podlaskie,566.0
339,062013813000,wysokomazowiecki,1289.0,2020,2013,powiat,20,podlaskie,647.0
340,062013814000,zambrowski,733.0,2020,2014,powiat,20,podlaskie,700.0
34,062013862000,Łomża,33.0,2020,2062,miasto na prawach powiatu,20,podlaskie,1056.0
341,062013901000,augustowski,1659.0,2020,2001,powiat,20,podlaskie,754.0
342,062013904000,grajewski,968.0,2020,2004,powiat,20,podlaskie,556.0
343,062013908000,moniecki,1382.0,2020,2008,powiat,20,podlaskie,328.0
344,062013909000,sejneński,855.0,2020,2009,powiat,20,podlaskie,239.0
345,062013912000,suwalski,1307.0,2020,2012,powiat,20,podlaskie,402.0
348,071412912000,miński,1164.0,2020,1412,powiat,14,mazowieckie,1838.0
349,071412917000,otwocki,616.0,2020,1417,powiat,14,mazowieckie,2298.0
350,071412934000,wołomiński,954.0,2020,1434,powiat,14,mazowieckie,5428.0
351,071413005000,grodziski,367.0,2020,1405,powiat,14,mazowieckie,1933.0
352,071413014000,nowodworski,695.0,2020,1414,powiat,14,mazowieckie,1752.0
353,071413018000,piaseczyński,621.0,2020,1418,powiat,14,mazowieckie,3173.0
354,071413021000,pruszkowski,246.0,2020,1421,powiat,14,mazowieckie,3703.0
355,071413032000,warszawski zachodni,534.0,2020,1432,powiat,14,mazowieckie,2069.0
356,071422502000,ciechanowski,1060.0,2020,1402,powiat,14,mazowieckie,1957.0
357,071422513000,mławski,1182.0,2020,1413,powiat,14,mazowieckie,1080.0
358,071422520000,płoński,1380.0,2020,1420,powiat,14,mazowieckie,1430.0
359,071422524000,pułtuski,827.0,2020,1424,powiat,14,mazowieckie,1010.0
360,071422537000,żuromiński,807.0,2020,1437,powiat,14,mazowieckie,382.0
361,071422611000,makowski,1065.0,2020,1411,powiat,14,mazowieckie,923.0
35,071422615000,ostrołęcki,2093.0,2020,1415,powiat,14,mazowieckie,756.0
36,071422616000,ostrowski,1218.0,2020,1416,powiat,14,mazowieckie,1656.0
362,071422622000,przasnyski,1219.0,2020,1422,powiat,14,mazowieckie,1051.0
363,071422635000,wyszkowski,876.0,2020,1435,powiat,14,mazowieckie,1130.0
364,071422661000,Ostrołęka,33.0,2020,1461,miasto na prawach powiatu,14,mazowieckie,2330.0
365,071422701000,białobrzeski,639.0,2020,1401,powiat,14,mazowieckie,452.0
366,071422707000,kozienicki,916.0,2020,1407,powiat,14,mazowieckie,869.0
367,071422709000,lipski,740.0,2020,1409,powiat,14,mazowieckie,388.0
368,071422723000,przysuski,801.0,2020,1423,powiat,14,mazowieckie,422.0
37,071422725000,radomski,1530.0,2020,1425,powiat,14,mazowieckie,1560.0
369,071422730000,szydłowiecki,452.0,2020,1430,powiat,14,mazowieckie,1064.0
370,071422736000,zwoleński,573.0,2020,1436,powiat,14,mazowieckie,438.0
371,071422763000,Radom,112.0,2020,1463,miasto na prawach powiatu,14,mazowieckie,4590.0
372,071427004000,gostyniński,615.0,2020,1404,powiat,14,mazowieckie,532.0
38,071427019000,płocki,1796.0,2020,1419,powiat,14,mazowieckie,1008.0
373,071427027000,sierpecki,852.0,2020,1427,powiat,14,mazowieckie,1492.0
375,071427103000,garwoliński,1285.0,2020,1403,powiat,14,mazowieckie,1362.0
376,071427110000,łosicki,772.0,2020,1410,powiat,14,mazowieckie,405.0
39,071427126000,siedlecki,1603.0,2020,1426,powiat,14,mazowieckie,766.0
377,071427129000,sokołowski,1131.0,2020,1429,powiat,14,mazowieckie,919.0
378,071427133000,węgrowski,1221.0,2020,1433,powiat,14,mazowieckie,807.0
379,071427328000,sochaczewski,735.0,2020,1428,powiat,14,mazowieckie,1419.0
380,071427338000,żyrardowski,533.0,2020,1438,powiat,14,mazowieckie,1603.0
